id_commande,date,produit,categorie,prix_unitaire,quantite,statut,client_region
1,2026-01-02,Souris,Entrée de gamme,19.90,5,Vente,Auvergne-Rhône-Alpes
2,2026-01-04,Casque,Standard,49.90,1,Retour,Provence-Alpes-Côte d'Azur
3,2026-01-04,Souris,Entrée de gamme,19.90,4,Retour,Île-de-France
4,2026-01-04,Disque externe,Standard,69.00,1,Vente,Île-de-France
5,2026-01-06,Souris,Entrée de gamme,19.90,3,Retour,Île-de-France
6,2026-01-07,Webcam,Standard,34.90,2,Vente,Hauts-de-France
7,2026-01-07,Tapis,Entrée de gamme,9.90,5,Vente,Auvergne-Rhône-Alpes
8,2026-01-08,Souris,Entrée de gamme,19.90,1,Vente,Hauts-de-France
9,2026-01-08,Hub USB,Entrée de gamme,14.90,1,Vente,Île-de-France
10,2026-01-09,Disque externe,Standard,69.00,2,Vente,Occitanie
11,2026-01-10,Casque,Standard,49.90,3,Vente,Île-de-France
12,2026-01-10,Souris,Entrée de gamme,19.90,2,Vente,Île-de-France
13,2026-01-11,Souris,Entrée de gamme,19.90,3,Vente,Grand Est
14,2026-01-11,Casque,Standard,49.90,3,Vente,Occitanie
15,2026-01-11,Clavier,Standard,79.00,2,Vente,Île-de-France
16,2026-01-14,Casque,Standard,49.90,1,Vente,Île-de-France
17,2026-01-14,Tapis,Entrée de gamme,9.90,2,Vente,Hauts-de-France
18,2026-01-15,Hub USB,Entrée de gamme,14.90,1,Vente,Occitanie
19,2026-01-17,Enceinte,Standard,89.90,3,Vente,Nouvelle-Aquitaine
20,2026-01-17,Support écran,Entrée de gamme,24.90,1,Retour,Provence-Alpes-Côte d'Azur
21,2026-01-17,Casque,Standard,49.90,3,Vente,Île-de-France
22,2026-01-18,Hub USB,Entrée de gamme,14.90,1,Retour,Île-de-France
23,2026-01-18,Webcam,Standard,34.90,2,Vente,Île-de-France
24,2026-01-20,Tapis,Entrée de gamme,9.90,1,Vente,Hauts-de-France
25,2026-01-21,Webcam,Standard,34.90,1,Vente,Nouvelle-Aquitaine
26,2026-01-21,Support écran,Entrée de gamme,24.90,1,Vente,Auvergne-Rhône-Alpes
27,2026-01-22,Webcam,Standard,34.90,1,Vente,Provence-Alpes-Côte d'Azur
28,2026-01-23,Support écran,Entrée de gamme,24.90,1,Vente,Hauts-de-France
29,2026-01-23,Webcam,Standard,34.90,4,Vente,Nouvelle-Aquitaine
30,2026-01-25,Webcam,Standard,34.90,1,Vente,Provence-Alpes-Côte d'Azur
31,2026-01-25,Webcam,Standard,34.90,1,Vente,Île-de-France
32,2026-01-26,Support écran,Entrée de gamme,24.90,2,Vente,Auvergne-Rhône-Alpes
33,2026-01-27,Casque,Standard,49.90,1,Vente,Grand Est
34,2026-01-28,Clavier,Standard,79.00,5,Vente,Île-de-France
35,2026-01-29,Tapis,Entrée de gamme,9.90,5,Vente,Provence-Alpes-Côte d'Azur
36,2026-01-29,Casque,Standard,49.90,1,Vente,Nouvelle-Aquitaine
37,2026-01-29,Souris,Entrée de gamme,19.90,1,Vente,Hauts-de-France
38,2026-01-31,Support écran,Entrée de gamme,24.90,1,Vente,Grand Est
